Date,Close,Sentiment
2017-07-06 00:00:00+00:00,33.36,-6.0
2017-07-07 00:00:00+00:00,33.7,0.0
2017-07-10 00:00:00+00:00,33.91,13.0
2017-07-11 00:00:00+00:00,34.02,6.0
2017-07-12 00:00:00+00:00,34.07,-13.0
2017-07-13 00:00:00+00:00,34.54,45.0
2017-07-14 00:00:00+00:00,34.84,33.0
2017-07-17 00:00:00+00:00,34.96,40.0
2017-07-18 00:00:00+00:00,35.08,4.0
2017-07-19 00:00:00+00:00,35.3,3.0
2017-07-20 00:00:00+00:00,35.14,4.0
2017-07-21 00:00:00+00:00,35.13,-10.0
2017-07-24 00:00:00+00:00,35.55,22.0
2017-07-25 00:00:00+00:00,35.7,12.0
2017-07-26 00:00:00+00:00,35.87,37.0
2017-07-27 00:00:00+00:00,35.19,-26.0
2017-07-28 00:00:00+00:00,34.95,3.0
2017-07-31 00:00:00+00:00,34.77,-5.0
2017-08-01 00:00:00+00:00,35.07,348.0
2017-08-02 00:00:00+00:00,36.73,174.0
2017-08-03 00:00:00+00:00,36.36,15.0
2017-08-04 00:00:00+00:00,36.56,27.0
2017-08-07 00:00:00+00:00,37.12,53.0
2017-08-08 00:00:00+00:00,37.42,74.0
2017-08-09 00:00:00+00:00,37.65,46.0
2017-08-10 00:00:00+00:00,36.45,-18.0
2017-08-11 00:00:00+00:00,36.96,21.0
2017-08-14 00:00:00+00:00,37.51,34.0
2017-08-15 00:00:00+00:00,37.92,69.0
2017-08-16 00:00:00+00:00,37.77,-1.0
2017-08-17 00:00:00+00:00,37.04,-23.0
2017-08-18 00:00:00+00:00,36.96,0.0
2017-08-21 00:00:00+00:00,36.89,6.0
2017-08-22 00:00:00+00:00,37.49,37.0
2017-08-23 00:00:00+00:00,37.54,15.0
2017-08-24 00:00:00+00:00,37.38,-10.0
2017-08-25 00:00:00+00:00,37.51,3.0
2017-08-28 00:00:00+00:00,37.89,31.0
2017-08-29 00:00:00+00:00,38.23,74.0
2017-08-30 00:00:00+00:00,38.33,30.0
2017-08-31 00:00:00+00:00,38.49,46.0
2017-09-01 00:00:00+00:00,38.5,19.0
2017-09-05 00:00:00+00:00,38.03,8.0
2017-09-06 00:00:00+00:00,37.99,-13.0
2017-09-07 00:00:00+00:00,37.84,-32.0
2017-09-08 00:00:00+00:00,37.23,-3.0
2017-09-11 00:00:00+00:00,37.9,35.0
2017-09-12 00:00:00+00:00,37.75,-180.0
2017-09-13 00:00:00+00:00,37.46,4.0
2017-09-14 00:00:00+00:00,37.14,-8.0
2017-09-15 00:00:00+00:00,37.52,72.0
2017-09-18 00:00:00+00:00,37.23,-4.0
2017-09-19 00:00:00+00:00,37.25,10.0
2017-09-20 00:00:00+00:00,36.62,-144.0
2017-09-21 00:00:00+00:00,36.0,-68.0
2017-09-22 00:00:00+00:00,35.64,-64.0
2017-09-25 00:00:00+00:00,35.33,-81.0
2017-09-26 00:00:00+00:00,35.94,71.0
2017-09-27 00:00:00+00:00,36.19,-4.0
2017-09-28 00:00:00+00:00,35.97,2.0
2017-09-29 00:00:00+00:00,36.17,7.0
2017-10-02 00:00:00+00:00,36.09,7.0
2017-10-03 00:00:00+00:00,36.25,9.0
2017-10-04 00:00:00+00:00,36.02,-26.0
